fam,A_ZZ,A_nd,cosZz
A,12.451,1.166,0.288
B,11.386,1.434,0.412
C,-8.379,0.827,0.907
D,-6.45,0.931,0.296
E,4.055,0.826,0.848
F,3.609,0.738,0.829
G,2.281,0.24,0.247
H,1.884,0.208,0.956
I,-1.386,0.13,0.167
J,-1.145,0.328,0.488
K1,-0.886,0.51,0.555
K2,-1.011,0.014,0.029
L,0.98,0.121,0.069
M,0.602,0.557,0.865
N,0.725,0.095,0.219
O1,0.673,0.171,0.528
O2,0.655,0.166,0.902
P,0.474,0.19,0.402
Q,0.391,0.273,0.524
R,-0.226,0.393,0.759
S,0.412,0.06,0.119
T,0.366,0.149,0.955
U,0.286,0.225,0.624
V,-0.209,0.232,0.639
W,-0.2,0.171,0.941
X,0.211,0.152,0.899
Y,-0.228,0.001,0.002
Z1,0.158,0.131,0.857
Z2,0.086,0.184,0.464
NV-axis,0.187,0.001,1
