#Saved Data from the class pulsed_measurement_logic on 16.09.2022 at 13h07m14s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 9.0596073150634766e+01
#Measurement sweeps: -1
#Number of laser pulses: 50
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 1.3800000000000001e-08, 'signal_end': 1.962e-07, 'norm_start': 1.6308000000000001e-06, 'norm_end': 1.9232e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 3, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.000206016, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Error
0.000000000000000e+00	1.224224430973427e+00	2.581955253840983e-02
3.000000000000000e-09	1.168963351246288e+00	2.500880216061358e-02
6.000000000000000e-09	1.134927891045893e+00	2.449028882092107e-02
9.000000000000000e-09	1.061447409837152e+00	2.311136273994168e-02
1.200000000000000e-08	1.073134841635215e+00	2.378625285533072e-02
1.500000000000000e-08	9.711343854996461e-01	2.176132637760536e-02
1.800000000000000e-08	9.261910986867246e-01	2.115584076470565e-02
2.100000000000000e-08	9.001524749013200e-01	2.078048801738796e-02
2.400000000000000e-08	8.245931555885332e-01	1.952881115199134e-02
2.700000000000000e-08	8.211601033623195e-01	1.959037421708277e-02
3.000000000000000e-08	8.226727791567465e-01	1.959941808360513e-02
3.300000000000000e-08	8.031902193064790e-01	1.904755203763938e-02
3.600000000000000e-08	8.623858199217052e-01	2.021494286552985e-02
3.900000000000000e-08	8.811699022966628e-01	2.041181272454344e-02
4.200000000000000e-08	9.372128086090540e-01	2.143647447180998e-02
4.500000000000000e-08	9.520495951417005e-01	2.141576831598655e-02
4.800000000000000e-08	1.056118842058577e+00	2.310451459258189e-02
5.100000000000000e-08	1.118493710401515e+00	2.435706934114036e-02
5.400000000000000e-08	1.110259962985403e+00	2.384331844578747e-02
5.700000000000000e-08	1.161470874899668e+00	2.484451422446571e-02
5.999999999999999e-08	1.179148554791399e+00	2.521966001808382e-02
6.300000000000000e-08	1.138443225469099e+00	2.441934529597408e-02
6.600000000000000e-08	1.160865366617319e+00	2.494827645017217e-02
6.900000000000000e-08	1.088034823405029e+00	2.348223655352667e-02
7.200000000000000e-08	1.028259325337827e+00	2.257312493525715e-02
7.500000000000000e-08	9.620249997498024e-01	2.166173983477523e-02
7.800000000000000e-08	9.154382342189245e-01	2.080390576552588e-02
8.100000000000000e-08	8.729468159646427e-01	2.037207259849840e-02
8.400000000000000e-08	8.574270942256302e-01	2.027132390119374e-02
8.700000000000000e-08	8.322241397721675e-01	1.994844482475849e-02
9.000000000000000e-08	7.748374769247115e-01	1.867331386203109e-02
9.300000000000000e-08	7.724104213979308e-01	1.863452820269609e-02
9.600000000000000e-08	8.203461573223271e-01	1.947625757369742e-02
9.900000000000000e-08	8.735164996219428e-01	2.026658913493052e-02
1.020000000000000e-07	9.089258189307842e-01	2.086018517157102e-02
1.050000000000000e-07	9.621477430468449e-01	2.169253310487329e-02
1.080000000000000e-07	1.063581326539553e+00	2.334083568402925e-02
1.110000000000000e-07	1.092433228718586e+00	2.368531182710065e-02
1.140000000000000e-07	1.147334514590716e+00	2.460364582864005e-02
1.170000000000000e-07	1.178481598478287e+00	2.519241569352663e-02
1.200000000000000e-07	1.168464131321987e+00	2.490048516850728e-02
1.230000000000000e-07	1.124681238164988e+00	2.401833806919700e-02
1.260000000000000e-07	1.129698712695145e+00	2.421265098498833e-02
1.290000000000000e-07	1.055957452377680e+00	2.288343571073637e-02
1.320000000000000e-07	1.056908959696900e+00	2.313859026109637e-02
1.350000000000000e-07	9.902851591519516e-01	2.218285805446118e-02
1.380000000000000e-07	9.214163295402459e-01	2.098530475804109e-02
1.410000000000000e-07	8.498274295216365e-01	1.956798125118476e-02
1.440000000000000e-07	8.153758701242746e-01	1.945113398607129e-02
1.470000000000000e-07	7.950504200293773e-01	1.894005390440510e-02
