#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 09h46m59s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 3.5599265542745590e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 100, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0009159296, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	1.003578897904055e+00	8.566014437257253e-01	1.011472678380742e-03	9.085289754383527e-04
2.640000000000000e-07	1.017382443529096e+00	8.660860871338020e-01	1.027981819123502e-03	9.202162251287122e-04
2.680000000000000e-07	1.026719078147534e+00	8.740142870634406e-01	1.039017412086074e-03	9.298283050135657e-04
2.720000000000000e-07	1.030085083187266e+00	8.732504055313138e-01	1.045351337840894e-03	9.315637626351535e-04
2.760000000000000e-07	1.035890017064974e+00	8.863407863639492e-01	1.052653022177513e-03	9.442647739699976e-04
2.800000000000000e-07	1.039108344730314e+00	8.853499564608571e-01	1.056206443823971e-03	9.448678706972076e-04
2.840000000000000e-07	1.041860321784642e+00	8.883560907076129e-01	1.059692814616828e-03	9.484705737846151e-04
2.880000000000000e-07	1.044376631141449e+00	8.930155533702068e-01	1.063056210102376e-03	9.524389796392984e-04
2.920000000000000e-07	1.046304217496177e+00	8.926209834702502e-01	1.065189244360489e-03	9.521071757228230e-04
2.960000000000000e-07	1.037446908944461e+00	8.960154751036112e-01	1.059152379030659e-03	9.557402742325365e-04
3.000000000000000e-07	1.043516779993973e+00	8.921318470351762e-01	1.063612793478518e-03	9.529894419235385e-04
3.040000000000000e-07	1.039675310515058e+00	8.978229729715309e-01	1.061593895626753e-03	9.577769557401385e-04
3.080000000000000e-07	1.043253129205738e+00	9.018826662537908e-01	1.064598538801609e-03	9.605159376132471e-04
3.120000000000000e-07	1.035161799749634e+00	9.020796820080070e-01	1.058270953773478e-03	9.598561635834236e-04
3.160000000000000e-07	1.038652417500447e+00	9.005612010021966e-01	1.060497635920306e-03	9.586064053380115e-04
3.200000000000000e-07	1.036107274648405e+00	9.077279403536411e-01	1.058534221111043e-03	9.640702189358861e-04
3.240000000000000e-07	1.026228056126768e+00	9.062375644123254e-01	1.050595405878529e-03	9.628639566617088e-04
3.280000000000000e-07	1.027108295288975e+00	9.111111702681171e-01	1.051400949769186e-03	9.666938685922411e-04
3.320000000000000e-07	1.026319645530153e+00	9.099292656383094e-01	1.050797746781465e-03	9.645167432516295e-04
3.360000000000000e-07	1.024605829039900e+00	9.132017426932227e-01	1.048468165312726e-03	9.667612297977814e-04
3.400000000000000e-07	1.019586977619991e+00	9.081356298222015e-01	1.045165966799126e-03	9.620997074687929e-04
3.440000000000000e-07	1.022053721254870e+00	9.104675111074521e-01	1.046035818908736e-03	9.640504387198167e-04
3.480000000000000e-07	1.014484573898961e+00	9.095772623683318e-01	1.038935928515607e-03	9.617063710840047e-04
3.520000000000000e-07	1.018195694478674e+00	9.115089403441159e-01	1.041701018450283e-03	9.626846074620873e-04
3.560000000000000e-07	1.010128175660345e+00	9.092181017584290e-01	1.034297321129019e-03	9.600356083596728e-04
3.600000000000000e-07	1.013512733242865e+00	9.118370127401683e-01	1.036564708707706e-03	9.609818334570691e-04
3.640000000000000e-07	1.007080958440689e+00	9.095382376770016e-01	1.030476207124713e-03	9.586392249620217e-04
3.680000000000000e-07	1.008765262622797e+00	9.051742691959311e-01	1.030779356012724e-03	9.544652066329586e-04
3.720000000000000e-07	1.012300473319627e+00	9.056700450656358e-01	1.032551198645689e-03	9.542563759532276e-04
3.760000000000000e-07	1.005579756720163e+00	9.022983060695330e-01	1.026367861464714e-03	9.504690649087724e-04
3.800000000000000e-07	1.006274714226511e+00	8.988070224071507e-01	1.025961737034755e-03	9.469120042984962e-04
3.840000000000000e-07	1.009115347103246e+00	8.977994868233447e-01	1.027012420512035e-03	9.456944029594208e-04
3.880000000000000e-07	1.005836647694844e+00	8.905211312864868e-01	1.022824983074627e-03	9.380842112429058e-04
3.920000000000000e-07	1.006365444165696e+00	8.902166349357545e-01	1.022494683302563e-03	9.372016997671592e-04
3.960000000000000e-07	1.007533376807264e+00	8.853296388282542e-01	1.022051027538536e-03	9.331417515468884e-04
4.000000000000000e-07	1.007110126560066e+00	8.829329363011176e-01	1.019844823319270e-03	9.308317099812428e-04
4.040000000000000e-07	1.006944585487054e+00	8.769850508577905e-01	1.018856953040159e-03	9.248246615253088e-04
4.080000000000000e-07	1.010638888262216e+00	8.722859202539273e-01	1.020967264973224e-03	9.200293372605811e-04
4.120000000000000e-07	1.009645501862324e+00	8.691250825770849e-01	1.019006266495522e-03	9.165842035033382e-04
4.160000000000000e-07	1.011316991473627e+00	8.669370033987924e-01	1.019332494453804e-03	9.145082041759900e-04
4.200000000000000e-07	1.008331022899396e+00	8.638993322461838e-01	1.015904029352499e-03	9.121172642206902e-04
4.240000000000000e-07	1.010276246954123e+00	8.572462348553115e-01	1.016925029526624e-03	9.061554113534927e-04
4.280000000000000e-07	1.009240345637901e+00	8.571955659086280e-01	1.015080913333857e-03	9.060065189591908e-04
4.320000000000000e-07	1.010248214171644e+00	8.546550459650025e-01	1.015786827342171e-03	9.034920760869080e-04
4.360000000000000e-07	1.015241066787069e+00	8.512676976942898e-01	1.018496537153133e-03	9.002571239421638e-04
4.400000000000000e-07	1.013984335322586e+00	8.502536314502611e-01	1.017578594194613e-03	8.993533697232588e-04
4.440000000000000e-07	1.010579319226474e+00	8.452094911191854e-01	1.015118335650812e-03	8.956262153904946e-04
4.480000000000000e-07	1.014117866093801e+00	8.425199388257282e-01	1.017274778039626e-03	8.932595606407335e-04
4.520000000000000e-07	1.012916159493347e+00	8.460466095323255e-01	1.016367243838666e-03	8.964448246560231e-04
4.560000000000000e-07	1.013363132557754e+00	8.422233505572836e-01	1.016590016878708e-03	8.936743636573398e-04
